State,Medical School,Men,Women,All,Year,,,,,,,,,,,,
NE,Creighton,78,85,163,3,,,,,,,,,,,,
NE,Nebraska,82,51,133,3,,,,,,,,,,,,
NH,Dartmouth-Geisel,40,59,99,3,,,,,,,,,,,,
NJ,Cooper Rowan,52,48,100,3,,,,,,,,,,,,
NJ,Hackensack Meridian,34,29,63,3,,,,,,,,,,,,
NJ,Rutgers New Jersey,90,95,185,3,,,,,,,,,,,,
NJ,Rutgers-RW Johnson,80,88,168,3,,,,,,,,,,,,
NM,New Mexico,42,73,115,3,,,,,,,,,,,,
NV,Nevada Reno,29,41,70,3,,,,,,,,,,,,
NV,UNLV-Kerkorian,27,28,55,3,,,,,,,,,,,,
NY,Albany,59,85,144,3,,,,,,,,,,,,
NY,Buffalo-Jacobs,83,87,170,3,,,,,,,,,,,,
NY,CUNY,30,54,84,3,,,,,,,,,,,,
NY,Columbia-Vagelos,79,69,148,3,,,,,,,,,,,,
NY,Cornell-Weill,63,55,118,3,,,,,,,,,,,,
NY,Einstein,87,88,175,3,,,,,,,,,,,,
NY,Mount Sinai-Icahn,71,56,127,3,,,,,,,,,,,,
NY,NYU Long Island-Grossman,8,12,20,3,,,,,,,,,,,,
NY,NYU-Grossman,51,56,107,3,,,,,,,,,,,,
NY,New York Medical,98,120,218,3,,,,,,,,,,,,
NY,Renaissance Stony Brook,73,63,136,3,,,,,,,,,,,,
NY,Rochester,45,61,106,3,,,,,,,,,,,,
NY,SUNY Downstate,99,90,189,3,,,,,,,,,,,,
NY,SUNY Upstate-Norton,76,74,150,3,,,,,,,,,,,,
NY,Zucker Hofstra Northwell,51,45,96,3,,,,,,,,,,,,
OH,Case Western Reserve,107,96,203,3,,,,,,,,,,,,
OH,Cincinnati,80,97,177,3,,,,,,,,,,,,
OH,Northeast Ohio,74,69,143,3,,,,,,,,,,,,
OH,Ohio State,101,97,198,3,,,,,,,,,,,,
OH,Toledo,84,94,178,3,,,,,,,,,,,,
OH,Wright State-Boonshoft,53,66,119,3,,,,,,,,,,,,
OK,Oklahoma,96,72,168,3,,,,,,,,,,,,
OR,Oregon,66,83,149,3,,,,,,,,,,,,
PA,Drexel,122,123,245,3,,,,,,,,,,,,
PA,Geisinger Commonwealth,61,53,114,3,,,,,,,,,,,,
PA,Jefferson-Kimmel,125,133,258,3,,,,,,,,,,,,
PA,Penn State,76,81,157,3,,,,,,,,,,,,
PA,Pennsylvania-Perelman,87,83,170,3,,,,,,,,,,,,
PA,Pittsburgh,69,88,157,3,,,,,,,,,,,,
PA,Temple-Katz,100,107,207,3,,,,,,,,,,,,
PR,Caribe,39,39,78,3,,,,,,,,,,,,
PR,Ponce,50,46,96,3,,,,,,,,,,,,
PR,Puerto Rico,60,45,105,3,,,,,,,,,,,,
PR,San Juan Bautista,16,42,58,3,,,,,,,,,,,,
RI,Brown-Alpert,74,74,148,3,,,,,,,,,,,,
SC,MU South Carolina,84,69,153,3,,,,,,,,,,,,
SC,South Carolina Columbia,48,49,97,3,,,,,,,,,,,,
SC,South Carolina Greenville,35,66,101,3,,,,,,,,,,,,
SD,South Dakota-Sanford,40,24,64,3,,,,,,,,,,,,
TN,East Tennessee-Quillen,28,39,67,3,,,,,,,,,,,,
TN,Meharry,53,63,116,3,,,,,,,,,,,,
TN,Tennessee,97,73,170,3,,,,,,,,,,,,
TN,Vanderbilt,50,49,99,3,,,,,,,,,,,,
TX,Baylor,77,93,170,3,,,,,,,,,,,,
TX,Houston-Fertitta,-,-,-,3,,,,,,,,,,,,
TX,TCU-Burnett,-,-,-,3,,,,,,,,,,,,
TX,Texas A&M,64,66,130,3,,,,,,,,,,,,
TX,Texas Tech,83,97,180,3,,,,,,,,,,,,
TX,Texas Tech-Foster,44,46,90,3,,,,,,,,,,,,
TX,UT Austin-Dell,16,31,47,3,,,,,,,,,,,,
TX,UT Houston-McGovern,113,118,231,3,,,,,,,,,,,,
TX,UT Medical Branch-Sealy,104,114,218,3,,,,,,,,,,,,
TX,UT Rio Grande Valley,28,23,51,3,,,,,,,,,,,,
TX,UT San Antonio-Long,112,91,203,3,,,,,,,,,,,,
TX,UT Southwestern,103,108,211,3,,,,,,,,,,,,
UT,Utah-Eccles,54,59,113,3,,,,,,,,,,,,
VA,Eastern Virginia ODU,73,72,145,3,,,,,,,,,,,,
VA,Virginia,88,77,165,3,,,,,,,,,,,,
VA,Virginia Commonwealth,87,92,179,3,,,,,,,,,,,,
VA,Virginia Tech Carilion,21,20,41,3,,,,,,,,,,,,
VT,Vermont-Larner,41,78,119,3,,,,,,,,,,,,
WA,U Washington,108,147,255,3,,,,,,,,,,,,
WA,Washington State-Floyd,23,33,56,3,,,,,,,,,,,,
WI,MC Wisconsin,103,130,233,3,,,,,,,,,,,,
WI,Wisconsin,96,77,173,3,,,,,,,,,,,,
WV,Marshall-Edwards,36,33,69,3,,,,,,,,,,,,
WV,West Virginia,57,46,103,3,,,,,,,,,,,,
AL,Alabama-Heersink,97,71,168,2,,,,,,,,,,,,
AL,South Alabama-Whiddon,33,41,74,2,,,,,,,,,,,,
AR,Arkansas,83,72,155,2,,,,,,,,,,,,
AZ,Arizona,55,53,108,2,,,,,,,,,,,,
AZ,Arizona Phoenix,34,41,75,2,,,,,,,,,,,,
CA,California,51,29,80,2,,,,,,,,,,,,
CA,California Northstate,48,50,98,2,,,,,,,,,,,,
CA,Kaiser Permanente-Tyson,-,-,-,2,,,,,,,,,,,,
CA,Loma Linda,79,68,147,2,,,,,,,,,,,,
CA,Southern Cal-Keck,79,82,161,2,,,,,,,,,,,,
CA,Stanford,49,38,87,2,,,,,,,,,,,,
CA,UC Davis,44,64,108,2,,,,,,,,,,,,
CA,UC Irvine,49,54,103,2,,,,,,,,,,,,
CA,UC Riverside,31,32,63,2,,,,,,,,,,,,
CA,UC San Diego,47,67,114,2,,,,,,,,,,,,
CA,UC San Francisco,87,101,188,2,,,,,,,,,,,,
CA,UCLA-Geffen,77,106,183,2,,,,,,,,,,,,
CO,Colorado,76,95,171,2,,,,,,,,,,,,
CT,Connecticut,50,59,109,2,,,,,,,,,,,,
CT,Quinnipiac-Netter,34,61,95,2,,,,,,,,,,,,
CT,Yale,57,50,107,2,,,,,,,,,,,,
DC,George Washington,86,101,187,2,,,,,,,,,,,,
DC,Georgetown,98,102,200,2,,,,,,,,,,,,
DC,Howard,40,60,100,2,,,,,,,,,,,,
FL,FIU-Wertheim,56,62,118,2,,,,,,,,,,,,
FL,Florida,68,73,141,2,,,,,,,,,,,,
FL,Florida Atlantic-Schmidt,26,38,64,2,,,,,,,,,,,,
FL,Florida State,52,73,125,2,,,,,,,,,,,,
FL,Miami-Miller,94,117,211,2,,,,,,,,,,,,
FL,Nova Southeastern-Patel,34,18,52,2,,,,,,,,,,,,
FL,UCF,68,54,122,2,,,,,,,,,,,,
FL,USF-Morsani,96,84,180,2,,,,,,,,,,,,
GA,Emory,73,56,129,2,,,,,,,,,,,,
GA,MC Georgia Augusta,103,115,218,2,,,,,,,,,,,,
GA,Mercer,70,62,132,2,,,,,,,,,,,,
GA,Morehouse,48,44,92,2,,,,,,,,,,,,
HI,Hawaii-Burns,35,37,72,2,,,,,,,,,,,,
IA,Iowa-Carver,78,73,151,2,,,,,,,,,,,,
IL,Carle Illinois,19,13,32,2,,,,,,,,,,,,
IL,Chicago Med Franklin,87,90,177,2,,,,,,,,,,,,
IL,Chicago-Pritzker,44,43,87,2,,,,,,,,,,,,
IL,Illinois,140,140,280,2,,,,,,,,,,,,
IL,Loyola-Stritch,53,108,161,2,,,,,,,,,,,,
IL,Northwestern-Feinberg,74,89,163,2,,,,,,,,,,,,
IL,Rush,72,64,136,2,,,,,,,,,,,,
IL,Southern Illinois,30,39,69,2,,,,,,,,,,,,
IN,Indiana,193,166,359,2,,,,,,,,,,,,
KS,Kansas,111,92,203,2,,,,,,,,,,,,
KY,Kentucky,99,91,190,2,,,,,,,,,,,,
KY,Louisville,76,66,142,2,,,,,,,,,,,,
LA,LSU New Orleans,90,106,196,2,,,,,,,,,,,,
LA,LSU Shreveport,75,68,143,2,,,,,,,,,,,,
LA,Tulane,89,87,176,2,,,,,,,,,,,,
MA,BU-Chobanian Avedisian,78,71,149,2,,,,,,,,,,,,
MA,Harvard,75,92,167,2,,,,,,,,,,,,
MA,Massachusetts-Chan,59,91,150,2,,,,,,,,,,,,
MA,Tufts,91,111,202,2,,,,,,,,,,,,
MD,Johns Hopkins,50,61,111,2,,,,,,,,,,,,
MD,Maryland,50,90,140,2,,,,,,,,,,,,
MD,Uniformed Services-Hebert,83,82,165,2,,,,,,,,,,,,
MI,Central Michigan,52,48,100,2,,,,,,,,,,,,
MI,Michigan,60,102,162,2,,,,,,,,,,,,
MI,Michigan State,80,105,185,2,,,,,,,,,,,,
MI,Oakland Beaumont,59,54,113,2,,,,,,,,,,,,
MI,Wayne State,132,136,268,2,,,,,,,,,,,,
MI,Western Michigan-Stryker,39,37,76,2,,,,,,,,,,,,
MN,Mayo-Alix,50,53,103,2,,,,,,,,,,,,
MN,Minnesota,103,117,220,2,,,,,,,,,,,,
MO,Missouri Columbia,55,56,111,2,,,,,,,,,,,,
MO,Missouri Kansas City,43,69,112,2,,,,,,,,,,,,
MO,Saint Louis,95,85,180,2,,,,,,,,,,,,
MO,Washington U St Louis,57,53,110,2,,,,,,,,,,,,
MS,Mississippi,83,82,165,2,,,,,,,,,,,,
NC,Duke,43,74,117,2,,,,,,,,,,,,
NC,East Carolina-Brody,40,37,77,2,,,,,,,,,,,,
NC,North Carolina,94,105,199,2,,,,,,,,,,,,
NC,Wake Forest,68,74,142,2,,,,,,,,,,,,
ND,North Dakota,43,31,74,2,,,,,,,,,,,,
NE,Creighton,81,85,166,2,,,,,,,,,,,,
NE,Nebraska,58,59,117,2,,,,,,,,,,,,
NH,Dartmouth-Geisel,31,43,74,2,,,,,,,,,,,,
NJ,Cooper Rowan,52,52,104,2,,,,,,,,,,,,
NJ,Hackensack Meridian,42,43,85,2,,,,,,,,,,,,
NJ,Rutgers New Jersey,87,82,169,2,,,,,,,,,,,,
NJ,Rutgers-RW Johnson,82,81,163,2,,,,,,,,,,,,
NM,New Mexico,34,55,89,2,,,,,,,,,,,,
NV,Nevada Reno,27,31,58,2,,,,,,,,,,,,
NV,UNLV-Kerkorian,36,30,66,2,,,,,,,,,,,,
NY,Albany,61,69,130,2,,,,,,,,,,,,
NY,Buffalo-Jacobs,88,87,175,2,,,,,,,,,,,,
NY,CUNY,22,38,60,2,,,,,,,,,,,,
NY,Columbia-Vagelos,63,77,140,2,,,,,,,,,,,,
NY,Cornell-Weill,45,59,104,2,,,,,,,,,,,,
NY,Einstein,94,91,185,2,,,,,,,,,,,,
NY,Mount Sinai-Icahn,68,69,137,2,,,,,,,,,,,,
NY,NYU Long Island-Grossman,10,15,25,2,,,,,,,,,,,,
NY,NYU-Grossman,49,62,111,2,,,,,,,,,,,,
NY,New York Medical,93,113,206,2,,,,,,,,,,,,
NY,Renaissance Stony Brook,61,67,128,2,,,,,,,,,,,,
NY,Rochester,50,52,102,2,,,,,,,,,,,,
NY,SUNY Downstate,96,94,190,2,,,,,,,,,,,,
NY,SUNY Upstate-Norton,90,85,175,2,,,,,,,,,,,,
NY,Zucker Hofstra Northwell,53,40,93,2,,,,,,,,,,,,
OH,Case Western Reserve,102,109,211,2,,,,,,,,,,,,
OH,Cincinnati,80,87,167,2,,,,,,,,,,,,
OH,Northeast Ohio,67,77,144,2,,,,,,,,,,,,
OH,Ohio State,80,118,198,2,,,,,,,,,,,,
OH,Toledo,81,81,162,2,,,,,,,,,,,,
OH,Wright State-Boonshoft,39,69,108,2,,,,,,,,,,,,
OK,Oklahoma,89,71,160,2,,,,,,,,,,,,
OR,Oregon,64,102,166,2,,,,,,,,,,,,
PA,Drexel,108,135,243,2,,,,,,,,,,,,
PA,Geisinger Commonwealth,56,54,110,2,,,,,,,,,,,,
PA,Jefferson-Kimmel,143,131,274,2,,,,,,,,,,,,
PA,Penn State,57,92,149,2,,,,,,,,,,,,
PA,Pennsylvania-Perelman,53,79,132,2,,,,,,,,,,,,
PA,Pittsburgh,69,69,138,2,,,,,,,,,,,,
PA,Temple-Katz,78,97,175,2,,,,,,,,,,,,
PR,Caribe,30,36,66,2,,,,,,,,,,,,
PR,Ponce,56,42,98,2,,,,,,,,,,,,
PR,Puerto Rico,51,49,100,2,,,,,,,,,,,,
PR,San Juan Bautista,16,20,36,2,,,,,,,,,,,,
RI,Brown-Alpert,65,70,135,2,,,,,,,,,,,,
SC,MU South Carolina,83,75,158,2,,,,,,,,,,,,
SC,South Carolina Columbia,50,39,89,2,,,,,,,,,,,,
SC,South Carolina Greenville,44,52,96,2,,,,,,,,,,,,
SD,South Dakota-Sanford,34,31,65,2,,,,,,,,,,,,
TN,East Tennessee-Quillen,33,37,70,2,,,,,,,,,,,,
TN,Meharry,45,53,98,2,,,,,,,,,,,,
TN,Tennessee,93,73,166,2,,,,,,,,,,,,
TN,Vanderbilt,54,50,104,2,,,,,,,,,,,,
TX,Baylor,68,102,170,2,,,,,,,,,,,,
TX,Houston-Fertitta,-,-,-,2,,,,,,,,,,,,
TX,TCU-Burnett,22,30,52,2,,,,,,,,,,,,
TX,Texas A&M,67,46,113,2,,,,,,,,,,,,
TX,Texas Tech,79,93,172,2,,,,,,,,,,,,
TX,Texas Tech-Foster,43,44,87,2,,,,,,,,,,,,
TX,UT Austin-Dell,21,23,44,2,,,,,,,,,,,,
TX,UT Houston-McGovern,102,138,240,2,,,,,,,,,,,,
TX,UT Medical Branch-Sealy,112,111,223,2,,,,,,,,,,,,
TX,UT Rio Grande Valley,19,26,45,2,,,,,,,,,,,,
TX,UT San Antonio-Long,106,94,200,2,,,,,,,,,,,,
TX,UT Southwestern,117,104,221,2,,,,,,,,,,,,
UT,Utah-Eccles,77,48,125,2,,,,,,,,,,,,
VA,Eastern Virginia ODU,80,69,149,2,,,,,,,,,,,,
VA,Virginia,78,84,162,2,,,,,,,,,,,,
VA,Virginia Commonwealth,88,102,190,2,,,,,,,,,,,,
VA,Virginia Tech Carilion,17,26,43,2,,,,,,,,,,,,
VT,Vermont-Larner,49,63,112,2,,,,,,,,,,,,
WA,U Washington,107,159,266,2,,,,,,,,,,,,
WA,Washington State-Floyd,28,41,69,2,,,,,,,,,,,,
WI,MC Wisconsin,112,128,240,2,,,,,,,,,,,,
WI,Wisconsin,80,76,156,2,,,,,,,,,,,,
WV,Marshall-Edwards,46,33,79,2,,,,,,,,,,,,
WV,West Virginia,46,53,99,2,,,,,,,,,,,,
AL,Alabama-Heersink,91,85,176,1,,,,,,,,,,,,
AL,South Alabama-Whiddon,32,42,74,1,,,,,,,,,,,,
AR,Arkansas,89,79,168,1,,,,,,,,,,,,
AZ,Arizona,46,62,108,1,,,,,,,,,,,,
AZ,Arizona Phoenix,43,51,94,1,,,,,,,,,,,,
CA,California,54,59,113,1,,,,,,,,,,,,
CA,California Northstate,60,30,90,1,,,,,,,,,,,,
CA,Kaiser Permanente-Tyson,21,16,37,1,,,,,,,,,,,,
CA,Loma Linda,79,96,175,1,,,,,,,,,,,,
CA,Southern Cal-Keck,93,81,174,1,,,,,,,,,,,,
CA,Stanford,35,41,76,1,,,,,,,,,,,,
CA,UC Davis,44,71,115,1,,,,,,,,,,,,
CA,UC Irvine,44,56,100,1,,,,,,,,,,,,
CA,UC Riverside,27,39,66,1,,,,,,,,,,,,
CA,UC San Diego,59,85,144,1,,,,,,,,,,,,
CA,UC San Francisco,81,92,173,1,,,,,,,,,,,,
CA,UCLA-Geffen,75,93,168,1,,,,,,,,,,,,
CO,Colorado,66,86,152,1,,,,,,,,,,,,
CT,Connecticut,47,54,101,1,,,,,,,,,,,,
CT,Quinnipiac-Netter,48,45,93,1,,,,,,,,,,,,
CT,Yale,55,48,103,1,,,,,,,,,,,,
DC,George Washington,80,91,171,1,,,,,,,,,,,,
DC,Georgetown,81,94,175,1,,,,,,,,,,,,
DC,Howard,40,55,95,1,,,,,,,,,,,,
FL,FIU-Wertheim,53,61,114,1,,,,,,,,,,,,
FL,Florida,57,84,141,1,,,,,,,,,,,,
FL,Florida Atlantic-Schmidt,24,32,56,1,,,,,,,,,,,,
FL,Florida State,40,70,110,1,,,,,,,,,,,,
FL,Miami-Miller,78,122,200,1,,,,,,,,,,,,
FL,Nova Southeastern-Patel,16,26,42,1,,,,,,,,,,,,
FL,UCF,56,61,117,1,,,,,,,,,,,,
FL,USF-Morsani,90,88,178,1,,,,,,,,,,,,
GA,Emory,56,78,134,1,,,,,,,,,,,,
GA,MC Georgia Augusta,114,130,244,1,,,,,,,,,,,,
GA,Mercer,47,55,102,1,,,,,,,,,,,,
GA,Morehouse,34,42,76,1,,,,,,,,,,,,
HI,Hawaii-Burns,27,50,77,1,,,,,,,,,,,,
IA,Iowa-Carver,79,61,140,1,,,,,,,,,,,,
IL,Carle Illinois,19,20,39,1,,,,,,,,,,,,
IL,Chicago Med Franklin,87,79,166,1,,,,,,,,,,,,
IL,Chicago-Pritzker,37,55,92,1,,,,,,,,,,,,
IL,Illinois,128,138,266,1,,,,,,,,,,,,
IL,Loyola-Stritch,59,91,150,1,,,,,,,,,,,,
IL,Northwestern-Feinberg,73,68,141,1,,,,,,,,,,,,
IL,Rush,76,72,148,1,,,,,,,,,,,,
IL,Southern Illinois,39,40,79,1,,,,,,,,,,,,
IN,Indiana,183,166,349,1,,,,,,,,,,,,
KS,Kansas,95,105,200,1,,,,,,,,,,,,
KY,Kentucky,94,101,195,1,,,,,,,,,,,,
KY,Louisville,65,84,149,1,,,,,,,,,,,,
LA,LSU New Orleans,72,108,180,1,,,,,,,,,,,,
LA,LSU Shreveport,55,78,133,1,,,,,,,,,,,,
LA,Tulane,85,92,177,1,,,,,,,,,,,,
MA,BU-Chobanian Avedisian,66,88,154,1,,,,,,,,,,,,
MA,Harvard,73,109,182,1,,,,,,,,,,,,
MA,Massachusetts-Chan,75,90,165,1,,,,,,,,,,,,
MA,Tufts,81,106,187,1,,,,,,,,,,,,
MD,Johns Hopkins,53,59,112,1,,,,,,,,,,,,
MD,Maryland,62,80,142,1,,,,,,,,,,,,
MD,Uniformed Services-Hebert,85,69,154,1,,,,,,,,,,,,
MI,Central Michigan,38,64,102,1,,,,,,,,,,,,
MI,Michigan,61,120,181,1,,,,,,,,,,,,
MI,Michigan State,87,94,181,1,,,,,,,,,,,,
MI,Oakland Beaumont,57,60,117,1,,,,,,,,,,,,
MI,Wayne State,126,132,258,1,,,,,,,,,,,,
MI,Western Michigan-Stryker,42,43,85,1,,,,,,,,,,,,
MN,Mayo-Alix,60,44,104,1,,,,,,,,,,,,
MN,Minnesota,90,142,232,1,,,,,,,,,,,,
MO,Missouri Columbia,57,61,118,1,,,,,,,,,,,,
MO,Missouri Kansas City,45,75,120,1,,,,,,,,,,,,
MO,Saint Louis,78,98,176,1,,,,,,,,,,,,
MO,Washington U St Louis,46,53,99,1,,,,,,,,,,,,
MS,Mississippi,70,85,155,1,,,,,,,,,,,,
NC,Duke,51,82,133,1,,,,,,,,,,,,
NC,East Carolina-Brody,31,49,80,1,,,,,,,,,,,,
NC,North Carolina,69,107,176,1,,,,,,,,,,,,
NC,Wake Forest,72,69,141,1,,,,,,,,,,,,
ND,North Dakota,35,31,66,1,,,,,,,,,,,,
NE,Creighton,77,87,164,1,,,,,,,,,,,,
NE,Nebraska,72,68,140,1,,,,,,,,,,,,
NH,Dartmouth-Geisel,41,50,91,1,,,,,,,,,,,,
NJ,Cooper Rowan,44,64,108,1,,,,,,,,,,,,
NJ,Hackensack Meridian,55,47,102,1,,,,,,,,,,,,
NJ,Rutgers New Jersey,75,82,157,1,,,,,,,,,,,,
NJ,Rutgers-RW Johnson,63,97,160,1,,,,,,,,,,,,
NM,New Mexico,35,46,81,1,,,,,,,,,,,,
NV,Nevada Reno,31,38,69,1,,,,,,,,,,,,
NV,UNLV-Kerkorian,35,26,61,1,,,,,,,,,,,,
NY,Albany,68,67,135,1,,,,,,,,,,,,
NY,Buffalo-Jacobs,76,93,169,1,,,,,,,,,,,,
NY,CUNY,21,35,56,1,,,,,,,,,,,,
NY,Columbia-Vagelos,80,62,142,1,,,,,,,,,,,,
NY,Cornell-Weill,62,47,109,1,,,,,,,,,,,,
NY,Einstein,77,110,187,1,,,,,,,,,,,,
NY,Mount Sinai-Icahn,68,65,133,1,,,,,,,,,,,,
NY,NYU Long Island-Grossman,9,15,24,1,,,,,,,,,,,,
NY,NYU-Grossman,48,62,110,1,,,,,,,,,,,,
NY,New York Medical,95,98,193,1,,,,,,,,,,,,
NY,Renaissance Stony Brook,55,69,124,1,,,,,,,,,,,,
NY,Rochester,43,52,95,1,,,,,,,,,,,,
NY,SUNY Downstate,110,96,206,1,,,,,,,,,,,,
NY,SUNY Upstate-Norton,63,79,142,1,,,,,,,,,,,,
NY,Zucker Hofstra Northwell,38,58,96,1,,,,,,,,,,,,
OH,Case Western Reserve,96,114,210,1,,,,,,,,,,,,
OH,Cincinnati,83,83,166,1,,,,,,,,,,,,
OH,Northeast Ohio,60,68,128,1,,,,,,,,,,,,
OH,Ohio State,87,100,187,1,,,,,,,,,,,,
OH,Toledo,83,80,163,1,,,,,,,,,,,,
OH,Wright State-Boonshoft,42,75,117,1,,,,,,,,,,,,
OK,Oklahoma,81,65,146,1,,,,,,,,,,,,
OR,Oregon,48,84,132,1,,,,,,,,,,,,
PA,Drexel,124,130,254,1,,,,,,,,,,,,
PA,Geisinger Commonwealth,55,60,115,1,,,,,,,,,,,,
PA,Jefferson-Kimmel,130,127,257,1,,,,,,,,,,,,
PA,Penn State,57,78,135,1,,,,,,,,,,,,
PA,Pennsylvania-Perelman,78,70,148,1,,,,,,,,,,,,
PA,Pittsburgh,59,67,126,1,,,,,,,,,,,,
PA,Temple-Katz,101,113,214,1,,,,,,,,,,,,
PR,Caribe,20,31,51,1,,,,,,,,,,,,
PR,Ponce,52,44,96,1,,,,,,,,,,,,
PR,Puerto Rico,51,44,95,1,,,,,,,,,,,,
PR,San Juan Bautista,31,35,66,1,,,,,,,,,,,,
RI,Brown-Alpert,60,74,134,1,,,,,,,,,,,,
SC,MU South Carolina,65,80,145,1,,,,,,,,,,,,
SC,South Carolina Columbia,48,42,90,1,,,,,,,,,,,,
SC,South Carolina Greenville,47,46,93,1,,,,,,,,,,,,
SD,South Dakota-Sanford,35,26,61,1,,,,,,,,,,,,
TN,East Tennessee-Quillen,28,34,62,1,,,,,,,,,,,,
TN,Meharry,31,59,90,1,,,,,,,,,,,,
TN,Tennessee,93,77,170,1,,,,,,,,,,,,
TN,Vanderbilt,46,49,95,1,,,,,,,,,,,,
TX,Baylor,84,86,170,1,,,,,,,,,,,,
TX,Houston-Fertitta,5,16,21,1,,,,,,,,,,,,
TX,TCU-Burnett,35,26,61,1,,,,,,,,,,,,
TX,Texas A&M,85,93,178,1,,,,,,,,,,,,
TX,Texas Tech,69,96,165,1,,,,,,,,,,,,
TX,Texas Tech-Foster,52,62,114,1,,,,,,,,,,,,
TX,UT Austin-Dell,17,32,49,1,,,,,,,,,,,,
TX,UT Houston-McGovern,101,124,225,1,,,,,,,,,,,,
TX,UT Medical Branch-Sealy,100,118,218,1,,,,,,,,,,,,
TX,UT Rio Grande Valley,27,25,52,1,,,,,,,,,,,,
TX,UT San Antonio-Long,111,96,207,1,,,,,,,,,,,,
TX,UT Southwestern,104,124,228,1,,,,,,,,,,,,
UT,Utah-Eccles,50,61,111,1,,,,,,,,,,,,
VA,Eastern Virginia ODU,74,61,135,1,,,,,,,,,,,,
VA,Virginia,61,83,144,1,,,,,,,,,,,,
VA,Virginia Commonwealth,80,95,175,1,,,,,,,,,,,,
VA,Virginia Tech Carilion,16,26,42,1,,,,,,,,,,,,
VT,Vermont-Larner,63,57,120,1,,,,,,,,,,,,
WA,U Washington,106,148,254,1,,,,,,,,,,,,
WA,Washington State-Floyd,27,40,67,1,,,,,,,,,,,,
WI,MC Wisconsin,99,136,235,1,,,,,,,,,,,,
WI,Wisconsin,82,91,173,1,,,,,,,,,,,,
WV,Marshall-Edwards,33,26,59,1,,,,,,,,,,,,
WV,West Virginia,48,48,96,1,,,,,,,,,,,,
